Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Master suite 1,,Master suite 1,,2019-10-06 21:40:27,2019-10-06 21:40:44,17.214s,INCOMPLETE
,,,,,,,
Test Cases/List and create users/List users,,,,2019-10-06 21:40:28,2019-10-06 21:40:38,10.497s,PASSED
"listusers = sendRequest(findTestObject(""reqres/List all users""))",,,,2019-10-06 21:40:30,2019-10-06 21:40:38,8.007s,PASSED
"verifyResponseStatusCode(listusers, 200)",,,,2019-10-06 21:40:38,2019-10-06 21:40:38,0.083s,PASSED
,,,,,,,
Test Cases/List and create users/Create Users,,,,2019-10-06 21:40:38,2019-10-06 21:40:41,2.817s,PASSED
"createuser = sendRequest(findTestObject(""reqres/Create new User""))",,,,2019-10-06 21:40:40,2019-10-06 21:40:41,1.645s,PASSED
"verifyResponseStatusCode(createuser, 201)",,,,2019-10-06 21:40:41,2019-10-06 21:40:41,0.011s,PASSED
,,,,,,,
Test Cases/Imgur/Imgur with header,,,,2019-10-06 21:40:41,2019-10-06 21:40:44,2.913s,PASSED
"imgur = sendRequest(findTestObject(""reqres/Imgur with http header""))",,,,2019-10-06 21:40:42,2019-10-06 21:40:44,2.268s,PASSED
"verifyResponseStatusCode(imgur, 200)",,,,2019-10-06 21:40:44,2019-10-06 21:40:44,0.005s,PASSED
"println(""TEST PASSED"")",,,,2019-10-06 21:40:44,2019-10-06 21:40:44,0.014s,PASSED
